,w,k,init_alpha,alpha,iters,final_dtv
0,3.0,10.0,0.5,no,100.0,0.4472949878688305
1,3.0,100.0,0.5,no,100.0,0.13725977052813235
2,3.0,1000.0,0.5,no,100.0,0.03050368123040117
3,4.0,10.0,0.5,no,100.0,0.3866860780298679
4,4.0,100.0,0.5,no,100.0,0.10036589398624388
5,4.0,1000.0,0.5,no,100.0,0.03920766713627976
6,5.0,10.0,0.5,no,100.0,0.3680835673258558
7,5.0,100.0,0.5,no,100.0,0.1482174979900557
8,5.0,1000.0,0.5,no,100.0,0.022070803765167308
9,10.0,10.0,0.5,no,100.0,0.32657010899068223
10,10.0,100.0,0.5,no,100.0,0.12041163078986385
11,10.0,1000.0,0.5,no,100.0,0.019996431812022014
12,30.0,10.0,0.5,no,100.0,0.23950461774098855
13,30.0,100.0,0.5,no,100.0,0.09731831378933853
14,30.0,1000.0,0.5,no,100.0,0.02700873338915576
15,50.0,10.0,0.5,no,100.0,0.21656898123492055
16,50.0,100.0,0.5,no,100.0,0.08094126832653607
17,50.0,1000.0,0.5,no,100.0,0.02462982386150972
18,100.0,10.0,0.5,no,100.0,0.21566560804388404
19,100.0,100.0,0.5,no,100.0,0.0899000391929349
20,100.0,1000.0,0.5,no,100.0,0.030319995795369245
